,date,google trend,tweet_volume,tweet_len
0,2019-01-06,87,8,22.0
1,2019-01-06,30,1,9.0
2,2019-01-13,0,1,20.0
3,2019-01-13,84,9,23.333333333333332
4,2019-01-20,74,8,22.125
5,2019-01-20,0,1,27.0
6,2019-01-27,85,12,22.583333333333332
7,2019-01-27,0,1,13.0
8,2019-02-03,85,8,22.875
9,2019-02-03,0,1,13.0
10,2019-02-10,0,12,13.916666666666666
11,2019-02-10,100,9,20.555555555555557
12,2019-02-17,0,1,10.0
13,2019-02-17,100,7,22.857142857142858
14,2019-02-24,0,1,12.0
15,2019-02-24,87,8,22.0
16,2019-03-03,0,1,9.0
17,2019-03-03,90,10,20.4
18,2019-03-10,0,1,21.0
19,2019-03-10,83,8,22.125
20,2019-03-17,0,5,10.6
21,2019-03-17,92,11,20.272727272727273
22,2019-03-24,0,1,14.0
23,2019-03-24,94,6,23.166666666666668
24,2019-03-31,83,12,21.25
25,2019-03-31,0,1,39.0
26,2019-04-07,95,7,22.857142857142858
27,2019-04-07,0,1,28.0
28,2019-04-14,95,9,23.0
29,2019-04-14,0,2,49.0
30,2019-04-21,0,1,33.0
31,2019-04-21,84,8,21.75
32,2019-04-28,87,10,23.0
33,2019-04-28,19,1,35.0
34,2019-05-05,87,7,22.857142857142858
35,2019-05-05,0,1,49.0
36,2019-05-12,96,8,21.5
37,2019-05-12,0,1,18.0
38,2019-05-19,92,9,20.555555555555557
39,2019-05-19,30,1,30.0
40,2019-05-26,80,7,22.857142857142858
41,2019-05-26,0,1,29.0
42,2019-06-02,34,1,21.0
43,2019-06-02,89,8,22.0
44,2019-06-09,75,8,21.75
45,2019-06-09,0,3,20.666666666666668
46,2019-06-16,72,11,22.272727272727273
47,2019-06-16,25,1,20.0
48,2019-06-23,81,7,22.857142857142858
49,2019-06-23,0,3,36.333333333333336
50,2019-06-30,76,7,22.857142857142858
51,2019-06-30,0,1,42.0
52,2019-07-07,69,11,18.272727272727273
53,2019-07-07,0,1,34.0
54,2019-07-14,100,1,19.0
55,2019-07-14,86,7,22.857142857142858
56,2019-07-21,84,9,21.444444444444443
57,2019-07-21,0,1,49.0
58,2019-07-28,0,2,35.0
59,2019-07-28,76,8,21.75
60,2019-08-04,0,1,24.0
61,2019-08-04,72,9,21.666666666666668
62,2019-08-11,85,7,22.857142857142858
63,2019-08-11,31,3,37.333333333333336
64,2019-08-18,0,5,36.0
65,2019-08-18,77,8,21.625
66,2019-08-25,93,9,20.555555555555557
67,2019-08-25,0,2,19.5
68,2019-09-01,45,3,18.666666666666668
69,2019-09-01,91,9,24.555555555555557
70,2019-09-08,19,8,19.125
71,2019-09-08,90,9,21.88888888888889
72,2019-09-15,26,5,20.8
73,2019-09-15,81,8,21.75
74,2019-09-22,0,7,18.285714285714285
75,2019-09-22,83,9,23.11111111111111
76,2019-09-29,91,7,22.857142857142858
77,2019-09-29,0,2,20.0
78,2019-10-06,0,2,24.0
