,date,google trend,tweet_volume,tweet_len
0,2019-01-06,30,1,9.0
1,2019-01-13,0,1,20.0
2,2019-01-20,0,1,27.0
3,2019-01-27,0,1,13.0
4,2019-02-03,0,1,13.0
5,2019-02-10,0,12,13.916666666666666
6,2019-02-17,0,1,10.0
7,2019-02-24,0,1,12.0
8,2019-03-03,0,1,9.0
9,2019-03-10,0,1,21.0
10,2019-03-17,0,5,10.6
11,2019-03-24,0,1,14.0
12,2019-03-31,0,1,39.0
13,2019-04-07,0,1,28.0
14,2019-04-14,0,2,49.0
15,2019-04-21,0,1,33.0
16,2019-04-28,19,1,35.0
17,2019-05-05,0,1,49.0
18,2019-05-12,0,1,18.0
19,2019-05-19,30,1,30.0
20,2019-05-26,0,1,29.0
21,2019-06-02,34,1,21.0
22,2019-06-09,0,3,20.666666666666668
23,2019-06-16,25,1,20.0
24,2019-06-23,0,3,36.333333333333336
25,2019-06-30,0,1,42.0
26,2019-07-07,0,1,34.0
27,2019-07-14,100,1,19.0
28,2019-07-21,0,1,49.0
29,2019-07-28,0,2,35.0
30,2019-08-04,0,1,24.0
31,2019-08-11,31,3,37.333333333333336
32,2019-08-18,0,5,36.0
33,2019-08-25,0,2,19.5
34,2019-09-01,45,3,18.666666666666668
35,2019-09-08,19,8,19.125
36,2019-09-15,26,5,20.8
37,2019-09-22,0,7,18.285714285714285
38,2019-09-29,0,2,20.0
39,2019-10-06,0,2,24.0
40,2019-10-13,0,1,24.0
41,2019-10-20,0,3,35.333333333333336
42,2019-10-27,36,1,41.0
43,2019-11-03,0,1,14.0
44,2019-11-10,0,4,26.5
45,2019-11-17,0,2,32.0
46,2019-11-24,62,2,42.0
47,2019-12-01,20,4,26.0
48,2019-12-08,0,4,35.5
49,2019-12-15,0,3,36.333333333333336
50,2019-12-22,24,2,32.5
51,2019-12-29,0,8,28.0
52,2020-01-05,0,1,27.0
53,2020-01-12,0,4,32.5
54,2020-01-19,0,4,17.25
55,2020-01-26,98,1,25.0
56,2020-02-02,0,1,14.0
57,2020-02-09,0,4,29.5
58,2020-02-16,0,3,28.333333333333332
59,2020-02-23,0,1,22.0
60,2020-03-01,0,3,34.666666666666664
61,2020-03-08,0,5,31.2
62,2020-03-15,0,5,18.2
63,2020-03-22,0,1,35.0
64,2020-03-29,0,7,27.714285714285715
65,2020-04-05,0,1,23.0
66,2020-04-12,22,4,16.5
67,2020-04-19,0,3,11.0
68,2020-04-26,0,2,8.0
69,2020-05-03,0,4,20.0
70,2020-05-10,0,1,16.0
71,2020-05-17,0,2,30.5
72,2020-05-24,0,2,4.5
73,2020-05-31,0,2,26.0
74,2020-06-07,24,1,6.0
75,2020-06-14,0,2,33.0
76,2020-06-21,0,5,23.0
77,2020-06-28,0,5,28.6
78,2020-07-05,30,10,20.5
79,2020-07-12,0,12,19.5
80,2020-07-19,0,8,25.625
81,2020-07-26,0,1,33.0
82,2020-08-02,0,5,29.8
83,2020-08-09,22,5,23.4
84,2020-08-16,21,2,28.5
85,2020-08-23,52,1,16.0
86,2020-08-30,0,1,34.0
87,2020-09-06,0,3,20.0
88,2020-09-13,0,3,17.666666666666668
89,2020-09-20,17,4,20.5
90,2020-09-27,0,3,19.0
91,2020-10-04,0,6,19.666666666666668
92,2020-10-11,0,3,26.666666666666668
93,2020-10-18,32,1,14.0
94,2020-10-25,23,1,28.0
95,2020-11-01,0,1,27.0
96,2020-11-08,0,2,13.0
97,2020-11-15,47,1,17.0
98,2020-11-22,0,3,42.666666666666664
99,2020-11-29,0,2,29.5
100,2020-12-06,0,1,13.0
101,2020-12-13,0,1,9.0
102,2020-12-20,0,1,9.0
103,2020-12-27,0,2,29.0
104,2021-01-03,0,2,15.0
105,2021-01-10,0,1,17.0
106,2021-01-17,0,4,35.75
107,2021-01-24,20,1,4.0
108,2021-01-31,61,2,36.0
109,2021-02-07,21,2,48.0
110,2021-02-14,35,1,40.0
111,2021-02-21,0,3,26.666666666666668
112,2021-02-28,45,2,30.0
113,2021-03-07,0,1,31.0
114,2021-03-14,21,1,26.0
115,2021-03-21,0,1,22.0
116,2021-03-28,0,2,17.5
117,2021-04-04,0,1,33.0
118,2021-04-11,45,1,17.0
119,2021-04-18,21,6,31.0
120,2021-04-25,0,1,20.0
121,2021-05-02,0,1,45.0
122,2021-05-09,0,4,33.5
123,2021-05-16,0,2,25.0
124,2021-05-23,32,1,22.0
125,2021-05-30,42,2,41.0
126,2021-06-06,22,1,37.0
127,2021-06-13,0,3,28.0
128,2021-06-20,0,3,26.666666666666668
129,2021-06-27,0,2,22.0
130,2021-07-04,0,3,21.333333333333332
131,2021-07-11,0,1,3.0
132,2021-07-18,0,1,9.0
133,2021-07-25,0,3,25.666666666666668
134,2021-08-01,20,1,37.0
135,2021-08-08,0,1,21.0
136,2021-08-15,54,2,23.5
137,2021-08-22,0,1,39.0
138,2021-08-29,0,1,34.0
139,2021-09-05,0,1,39.0
140,2021-09-12,0,3,8.0
141,2021-09-19,0,1,4.0
142,2021-09-26,0,1,51.0
