,date,google trend,tweet_volume,tweet_len
0,2019-01-06,87,8,22.0
1,2019-01-13,84,9,23.333333333333332
2,2019-01-20,74,8,22.125
3,2019-01-27,85,12,22.583333333333332
4,2019-02-03,85,8,22.875
5,2019-02-10,100,9,20.555555555555557
6,2019-02-17,100,7,22.857142857142858
7,2019-02-24,87,8,22.0
8,2019-03-03,90,10,20.4
9,2019-03-10,83,8,22.125
10,2019-03-17,92,11,20.272727272727273
11,2019-03-24,94,6,23.166666666666668
12,2019-03-31,83,12,21.25
13,2019-04-07,95,7,22.857142857142858
14,2019-04-14,95,9,23.0
15,2019-04-21,84,8,21.75
16,2019-04-28,87,10,23.0
17,2019-05-05,87,7,22.857142857142858
18,2019-05-12,96,8,21.5
19,2019-05-19,92,9,20.555555555555557
20,2019-05-26,80,7,22.857142857142858
21,2019-06-02,89,8,22.0
22,2019-06-09,75,8,21.75
23,2019-06-16,72,11,22.272727272727273
24,2019-06-23,81,7,22.857142857142858
25,2019-06-30,76,7,22.857142857142858
26,2019-07-07,69,11,18.272727272727273
27,2019-07-14,86,7,22.857142857142858
28,2019-07-21,84,9,21.444444444444443
29,2019-07-28,76,8,21.75
30,2019-08-04,72,9,21.666666666666668
31,2019-08-11,85,7,22.857142857142858
32,2019-08-18,77,8,21.625
33,2019-08-25,93,9,20.555555555555557
34,2019-09-01,91,9,24.555555555555557
35,2019-09-08,90,9,21.88888888888889
36,2019-09-15,81,8,21.75
37,2019-09-22,83,9,23.11111111111111
38,2019-09-29,91,7,22.857142857142858
39,2019-10-06,77,7,22.857142857142858
40,2019-10-13,79,9,20.555555555555557
41,2019-10-20,78,8,25.0
42,2019-10-27,75,10,26.4
43,2019-11-03,81,8,21.75
44,2019-11-10,80,10,22.6
45,2019-11-17,78,8,23.75
46,2019-11-24,74,7,22.857142857142858
47,2019-12-01,70,13,25.307692307692307
48,2019-12-08,73,8,23.625
49,2019-12-15,87,9,22.444444444444443
50,2019-12-22,80,10,24.8
51,2019-12-29,83,7,22.285714285714285
52,2020-01-05,92,9,22.333333333333332
53,2020-01-12,79,8,25.375
54,2020-01-19,86,9,20.555555555555557
55,2020-01-26,81,7,22.857142857142858
56,2020-02-02,83,8,22.0
57,2020-02-09,95,9,23.77777777777778
58,2020-02-16,91,9,22.0
59,2020-02-23,81,8,23.75
60,2020-03-01,87,13,22.153846153846153
61,2020-03-08,81,11,22.454545454545453
62,2020-03-15,79,7,22.857142857142858
63,2020-03-22,80,8,22.0
64,2020-03-29,89,11,23.454545454545453
65,2020-04-05,90,12,20.333333333333332
66,2020-04-12,89,8,23.75
